eid	opLicense	expiryDate	opCertificationID
1	WKJH0337	2028-10-17	AZ494895
3	EVGK6783	2027-06-15	QS898547
7	DZRI1045	2027-07-12	ME187634
9	SNTS0149	2025-12-25	SN047652
11	QFIW0143	2028-08-03	OM853587
12	PYXA0823	2028-10-15	FR115056
16	GDZT0283	2027-03-21	OZ025459
18	HBJQ9347	2027-12-10	ZG255127
19	OYYJ9648	2026-06-24	SB256676
20	ASMZ8988	2028-07-21	UI083245
24	NQVS0704	2025-07-05	KL663383
26	JLSV6176	2025-05-25	ON905116
27	RQYE6005	2025-07-28	CT351336
30	YRHI2825	2027-11-09	UF930555
31	NYIQ3198	2028-12-03	HY532570
32	SUPW3123	2025-11-08	XY781819
34	WMMC0609	2027-09-17	NJ035702
35	QRCV5110	2026-02-17	AE863566
38	BPMH8807	2025-11-13	LQ735978
39	GQYG0497	2025-08-24	CU106223
41	TCTG4833	2028-04-30	MD587033
43	RMTH0882	2027-06-20	BR347250
46	XJTU1287	2028-11-12	ZE672985
47	QBND1166	2025-08-16	EX045139
50	CEQC9777	2025-08-12	JM317603
51	NPIZ3236	2026-09-11	YM831187
54	PUWH8061	2028-03-06	MS920522
55	QCIR4929	2027-02-06	SL451225
57	MTWN1763	2027-09-21	RR413658
58	UKFK8080	2024-12-22	IJ866942
59	RSAF2758	2027-10-16	NM016179
60	UAAM0357	2025-01-29	NJ822880
