eid	pilotLicense	expiryDate
1	RLOA5230	2028-07-28
2	XFND1902	2025-01-17
3	EYNM3975	2027-10-02
6	KKED3591	2026-04-29
7	UFLV0228	2027-05-20
11	OSYD4223	2028-02-25
12	GJQO6291	2025-03-24
13	QFZJ6448	2026-03-14
14	IFYI2526	2027-04-16
17	NTYT4100	2025-09-06
19	AHLZ1603	2025-02-12
25	BZCZ3192	2027-07-16
26	GDQG0690	2025-04-19
28	EACZ5510	2027-05-24
31	KUIT7220	2027-05-16
33	UJVU4805	2027-02-17
34	ESIM2828	2028-05-17
36	UBRT7825	2026-08-17
38	BIUK4158	2028-02-22
39	KCTB8560	2025-05-09
42	ZWLL8994	2025-11-26
44	ZOJU5116	2028-04-11
45	KUAP3977	2026-12-09
46	WLPE1598	2026-01-22
49	BSCA9732	2028-08-06
50	NOYW6518	2027-02-12
51	XGAL9147	2027-06-15
56	GUGK6338	2028-01-17
57	OSRX9762	2028-12-14
59	YSWE8530	2027-01-12
